2.4 ghz,"Let’s start with this one out of all the headphone terms. It’s relatively new and common wireless frequency, it allows you to have 2.4GHz wireless headphones that have a longer range of coverage, can transmit data through radio frequencies and are less prone to interferences.",https://krisp.ai/blog/glossary-headphone-terms/
900 mhz,"This is an older wireless frequency, it also allows you to have wireless headphones that can transmit data through radio frequencies and have a pretty decent coverage.",https://krisp.ai/blog/glossary-headphone-terms/
airline adapter,"An adapter that connects the mini plug or full-sized jack of most headphones to the two 1/8"" mini plugs that most airplanes use for audio.",https://www.crutchfield.com/S-P3Fy2Oh1DMm/learn/headphones-glossary.html
all discrete,"Integrated circuits are nice, but not all audio equipment use them. Some audio equipment prefer to have separated individual components such as resistors, transistors, and capacitors.Some experts believe that individual components bring about superior sound.",https://krisp.ai/blog/glossary-headphone-terms/
amplifier,"Left to their own devices, the audio signals coming from your phone, computer or music player are usually not powerful enough to drive your speakers or headphones. Thus we need an amplifier to amplify the audio signals from low power to high power.",https://krisp.ai/blog/glossary-headphone-terms/
analog,"Generally, a mechanism that represents data using a continuously changing variable. Usually, a voltage that continuously tracks and represents sound pressure level.",https://www.headphones.com/pages/glossary
armature,"A type of headphone driver, armatures consist of a moving magnet connected to a diaphragm that creates sound when an electrical current is applied. Armatures are mostly used for in-the-ear earbuds and hearing aids because of their small size and low impedance. However, they're generally limited when it comes to reproducing frequencies lower than 20 Hz and higher than 16,000 Hz, and require a good seal in your ear to deliver their full audio range.",https://www.crutchfield.com/S-P3Fy2Oh1DMm/learn/headphones-glossary.html
around-the-ear,"This kind of earcup is large and fits over the ear, usually surrounding it with an extra roll of material. Also known as a sealed design, it helps keep outside noise from penetrating the ear. It also prevents the audio being played through the headphones from disturbing others. However, since sound has a tendency to reverberate in enclosed spaces, this type of design may cause some minor unwanted resonance.",https://www.crutchfield.com/S-P3Fy2Oh1DMm/learn/headphones-glossary.html
asymmetrical cord,"Extends from both earcups, with one cable longer than the other. Both cords come together off center, to the side of the neck, or close to one ear. This design keeps the cord to the side and out of the way.",https://www.crutchfield.com/S-P3Fy2Oh1DMm/learn/headphones-glossary.html
attenuator,"Sometimes the audio signal is too noisy, that’s where an attenuator comes in, it helps to reduce the volume of the audio signal.",https://krisp.ai/blog/glossary-headphone-terms/
automatic call distributor,"This is a phone system mostly used in call centers where they receive a lot of incoming calls. the ACD is automated to route all these calls to different operators.By the way, if you’re struggling with noise in call centers, or during remote conferencing generally you can use noise cancelling app called Krisp to mute all the background noise on both ends, it launched on Appsumo Deals quite recently.",https://krisp.ai/blog/glossary-headphone-terms/
balanced headphones,"These are headphones that have balanced cable, it uses 3 conductors; 2 for the positive and negative phases of the signal and 1 for the ground, this arrangement serves to prevent hums and interferences.",https://krisp.ai/blog/glossary-headphone-terms/
behind-the-neck,"A design in which the headband rests against or hovers slightly above the back of the neck. Behind-the-neck headphones are popular with people who don't wish to mess up their hair, or for active users who like to wear hats or sweat bands.",https://www.crutchfield.com/S-P3Fy2Oh1DMm/learn/headphones-glossary.html
biaural or binaural,These are headphones that have speakers for both ears thereby allowing you to listen to binaural audio (audio that has one tone but two different frequencies).,https://krisp.ai/blog/glossary-headphone-terms/
binaural recording,"A way of recording audio that produces a 360-degree listening experience when heard through headphones. Any pair of headphones with good right and left channel isolation can sufficiently reproduce this effect, although higher-quality headphones will do a better job.",https://www.crutchfield.com/S-P3Fy2Oh1DMm/learn/headphones-glossary.html
bluetooth,"Thus is essentially one of the technologies that help to eliminate all wires and cable when connecting devices to one another. Thanks to Bluetooth technology, your headphones can do without wires.",https://krisp.ai/blog/glossary-headphone-terms/
boom microphone,"For some headphones, a boom microphone usually grows out of the external side of one of the earcups and extends via an arm (boom) to a fixed position close to the mouth.Why should you care? When you use a boom microphone while calling, no matter how vigorously you move your head the volume of your voice still remains constant to the caller.",https://krisp.ai/blog/glossary-headphone-terms/
bright,A descriptive audio term meaning generally that a sound has strong treble. Would be harsh or tizzy in the extreme.,https://www.headphones.com/pages/glossary
circumaural,"Literally meaning ""around the ear,"" circumaural headphones have larger earpads that completely surround the ear and earcups that completely enclose or cover the ear.",https://www.headphones.com/pages/glossary
clipping,"For sound waves or signals to get transmitted in speakers and headphones, they are converted into electronic signals. However there are times when the amplifier is overdriven to produce a signal which is more powerful than it can handle, such signals are cut or clipped once they get to the amplifiers maximum capacity.",https://krisp.ai/blog/glossary-headphone-terms/
closed,"Closed or closed-back headphones are also commonly called 'sealed' (or sealed-back headphones) and are designed to block out environmental noise using a passive acoustic seal. Full size closed headphones provide about -10dB to -15dB of isolation, mostly in the mids and higher frequencies. Smaller on-ear closed headphones provide somewhat less isolation dependent on their design and the shape of your ear. In-ear headphones are a closed design in which the earpieces 'seal' within the ear canal like earplugs to prove about -25dB or more outside noise attenuation. In-ear headphones usually provide the best isolation and noise-blocking of any headphone type. Noise-cancelling headphones are closed designs that add battery-powered electronics to attenuate ambient noises better than a normal 'passive' earcup seal could provide.",https://www.headphones.com/pages/glossary
closed-back,"This is the direct opposite of open-back headphones. A headphone is said to be closed-back when the outer part (back) of the headphone is closed or sealed completely in such a way that sound only goes into the ear and doesn’t escape via the opposite direction. These make for better noise isolation, thus ensuring that your audio entertainment doesn’t disturb the people around you.",https://krisp.ai/blog/glossary-headphone-terms/
coaxial,"Many HeadRoom digital to analog converter (DAC) products have a ""coaxial digital"" input. This is a 75 Ohm S/PDIF digital audio input. The word ""coaxial"" specifically refers to 75 Ohm cables which typically use a coaxial construction, which refers to a center conductor and an outside conductor which completely surrounds the center conductor. Both conductors share the same center axis and are therefor called ""co-axial.""",https://www.headphones.com/pages/glossary
coherent,"A descriptive audio term when all spectral components of the audio are passing through the system at exactly the same time. When audio is coherent, imaging is precise and stable with instruments clearly defined and natural sounding. When incoherent, may become edgy and hard sounding, lacking image depth.",https://www.headphones.com/pages/glossary
convertible headphones,"Some people, depending on their unique circumstances, want to wear on-ear headphones at a point and over-the-ear headphones at another. If you’re one of such people, rather than buy 2 headphones, you might want to consider a convertible headphone.A convertible headphone as the name implies is one that can quickly be switched between 2 or more wearing styles.",https://krisp.ai/blog/glossary-headphone-terms/
crossfeed,"An electronic circuit that serves to make the audio image on headphones more like that heard on speakers. It takes the signal from each channel, delays it for a few hundred microseconds, and crossfeeds it over to the opposite channel to mimic the acoustics of the left speaker sound reaching the right ear and vice versa. It both improves the audio image on headphones and reduces listening fatigue.",https://www.headphones.com/pages/glossary
current,"The flow of electrons in an electrical circuit, it is measured in Amperes.",https://krisp.ai/blog/glossary-headphone-terms/
